,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
21,,,,,,,,AndroidOS/Revmob.A,,ADWARE,,,,,,,Adware.Revmob.1.origin,,,,,,,,,,,,Adware.AndroidOS.RevMob.a (v),,,,,,,,,,,,,,,Adware/ANDR.RevMob.A.Gen,a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.RevMob.A.Gen,probably a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,TROJ_GEN.F47V0506,,,,,Trojan.AndroidOS.Youmi.Startapp,,,,Artemis!1299CA46ECE6,,,AdWare.AndroidOS.AdDisplay,,,,,,,Artemis!1299CA46ECE6,Adware/ANDR.StartApp.A.Gen,a variant of Android/AdDisplay.Startapp.A,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,TROJ_GEN.F47V0326,,,,,,,,,,,,AdWare.AndroidOS.RevMob,ApplicUnwnt,,,,,,Artemis!130F1DB47201,Adware/ANDR.RevMob.A.Gen,probably a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android Vserv Mobi,,,,not-a-virus:HEUR:AdWare.AndroidOS.Viser.a,,,,,,,,,,Adware/ANDR.Viser.C.Gen,a variant of Android/AdDisplay.Viser.F,,,Trojan.Android.Viser.dcqwqe,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trojan.Dex.Cosha.daolxv,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen:Trojan.Heur2.LVP.zoNfaOiTFDpk (B),,Android Kuguo,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,probably a variant of Android/Adware.Kuguo.D,,R:\sav6\ruta_trabajo3\\40192668/res\raw\bgm_splash1.mid,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,Android/Dowgin,,,,,,,Android.Adware.Dowgin.AO (B),,Android Dowgin,Android.Adware.Dowgin.AO,,,,Android.Adware.Dowgin.AO,,,Android.Adware.Dowgin.AO,,,Android.Adware.Dowgin.AO,Android.Adware.Dowgin.AO,,,a variant of Android/Adware.Dowgin.F,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,Android Dowgin,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,Android.Adware.ApperhandAds,AndroidOS/Plankton.D,,,,,,,,,Adware.Startapp.6.origin,,,,Android/Generic,,,,AndroidOS/Plankton.A.gen!Eldorado,,,Android.Adware.Plankton.A (B),,Android Apperhand,Android.Adware.Plankton.A,,,,Android.Adware.Plankton.A,,,Application:Android/Counterclank.A,,,,Android.Adware.Plankton.A,,Adware/ANDR.Apperhand.A.Gen,a variant of Android/Plankton.I,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trojan.AndroidOS.BankStealer.A,,Riskware:Android/SecApk,,,,,,,a variant of Android/Secapk.C,,,Trojan.Android.Secapk.dcsuid,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,Android/LeadBolt,,,,,,,,,Android LeadBolt,,,,,,,,,,,,,,Adware/ANDR.Leadbolt.B.Gen,a variant of Android/AdDisplay.RevMob.A,,,,,,,,,,,,,,,,,,,,,
33,,,,,Android.Gumen.A,,,,,,,,,,,,Android.Gumen.1.origin,,,,Android/Generic,,,,,,,Android.Riskware.Gumen.A (B),,,Android.Riskware.Gumen.A,,,HEUR:Trojan-SMS.AndroidOS.Gumen.a,Android.Riskware.Gumen.A,,,Android.Riskware.Gumen.A,,Android.Troj.Gumen.a.(kcloud),,Android.Riskware.Gumen.A,,,probably a variant of Android/Adware.Umeng.A,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,AndroidOS/Frupi.G,Android-Spyware/Dowgin,,,,,,,,Adware.Kuguo.2.origin,,,,Android/Deng.SI,,,,,,,Android.Adware.Dowgin.I (B),,Android Kuguo,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Dowgin.M.Gen,a variant of Android/AdDisplay.Dowgin.W,,,Riskware.Dex.Kuguo.cxeybq,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.A (B),,,Android.Adware.Dowgin.A,,,,Android.Adware.Dowgin.A,,,Adware:Android/AdWo.C,,,,Android.Adware.Dowgin.A,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,AndroidOS/Gumen.B,,,,,,,,,,,,,Android/Deng.OW,,,,,,,,,,,,,,,,,Riskware:Android/SecApk,,,,,,,a variant of Android/Secapk.C,,,Trojan.Dex.Secapk.daomcd,,,,,,,,,,,,,,,,,,
37,,,,,,,,,Android-Spyware/Dowgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.Dowgin.U.Gen,a variant of Android/AdDisplay.Dowgin.W,,,Riskware.Android.Dowgin.cyerjz,,,,,,,,,,,,,,,,,,
38,,,,,,,,AndroidOS/Dogwin.A,,,,,,,,,Adware.AdPush.4.origin,,,,,,,,,,,,,Android Dowgin,,,,not-a-virus:HEUR:AdWare.AndroidOS.Dowgin.b,,,,,,Android.Adware.Dowgin.e.(kcloud),,,,,a variant of Android/Adware.Dowgin.C,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,Adware.Leadbolt.9.origin,,,,Android/Deng.BOD,,,,,,,,Adware.AndroidOS.LeadBolt.a (v),Android LeadBolt,,,,,,,,,,,,,,Adware/ANDR.Leadbolt.B.Gen,a variant of Android/Leadbolt.E,,,,,,Adware/LeadBolt!Android,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,Android/AdWo,,,TROJ_GEN.F47V1219,,,,,,,,,,,,Virus.Android.AdWo,UnclassifiedMalware,Adware:Android/AdWo,,,,,,,a variant of Android/Adware.AdsWo.E,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.Appsgeyser.A.Gen,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,AndroidOS/Wapsx.C,,,,,,,,,Adware.Waps.2.origin,,,,,,,,,,,Android.Adware.Adwo.A (B),,Android Multi Ads,Android.Adware.Adwo.A,,Artemis!7B60D8EEC9AB,,Android.Adware.Adwo.A,AndroidOS.AdWare.AdWo,,Adware:Android/AdWo.C,,,,Android.Adware.Adwo.A,Artemis!7B60D8EEC9AB,Adware/ANDR.Adwo.A.Gen,a variant of Android/Adware.AdsWo.H,,,,,,Adware/Adswo.KK,,,,,,,,,,,,,,,
43,,,,,,,,AndroidOS/Agent.CH,,,,,,,,Android:SMSSend-EG [PUP],Android.SmsSend.1055.origin,,,,Android_dca.GKT,,,TROJ_GE.B261795B,AndroidOS/Agent.CH,,,Android.Riskware.SmsPay.AJ (B),Trojan.AndroidOS.Generic.A,Android Umpay,,,Artemis!B4E7491DF9BD,not-a-virus:HEUR:RiskTool.AndroidOS.SMSreg.de,Android.Riskware.SmsPay.AJ,AndroidOS.Umpay,,Android.Riskware.SmsPay.AJ,,,Android.Riskware.SmsPay.AJ,Android.Riskware.SmsPay.AJ,Artemis!B4E7491DF9BD,SPR/ANDR.SmsReg.W.Gen,a variant of Android/SMSreg.BP,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,Android/Deng.US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
