,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,Adware.Wooboo.1.origin,,,,Android/AdWo,Backdoor/AndroidOS.ewr,,TROJ_GEN.F47V1031,,,,,,,,,,,,,,Adware:Android/AdWo,,,,,,,a variant of Android/Adware.AdsWo.E,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,ADWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.Appsgeyser.A.Gen,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,,,,,,,Adware/Umeng.W,,,,,,,,,,,,,,,
80,,,,,,,,,Android-Spyware/Dowgin,,,,,,,,,,,,,,,Suspicious_GEN.F47V0731,,,,,,Android Dowgin,,,Artemis!8F8CA12AEC93,,,,,,,,,,Artemis!8F8CA12AEC93,Adware/ANDR.Dowgin.U.Gen,a variant of Android/AdDisplay.Dowgin.W,,,Riskware.Android.Dowgin.cyerjz,,,,,,,,,,,,,,,,,,
81,,,,,,,,AndroidOS/Frupi.C,,,,,,,,,,,,,,,,,,,,Android.Adware.Dowgin.I (B),,Android Dowgin,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,ApplicUnwnt,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Dowgin.H.Gen,a variant of Android/AdDisplay.Dowgin.Y,,,,,,Adware/Dowgin.U,,,,,,,,,,,,,,,
82,,,,,,,,AndroidOS/Frupi.G,Android-Spyware/Dowgin,,,,,,,,,,,,Android/Deng.TZ,,,,,,,Android.Adware.Dowgin.I (B),,Android Kuguo,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Kuguo.K.Gen,a variant of Android/AdDisplay.Kuguo.G,,,Riskware.Dex.Kuguo.cxeybq,,,,,,,,,,,,,,,,,,
83,,,,,,,,AndroidOS/Denofow.B,,,,,,,,,,,,,,,,,AndroidOS/Denofow.B,,,Android.Adware.Dowgin.I (B),,,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,Android-Spyware/Dowgin,,,,,,,,,,,,Android/Deng.UW,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.Dowgin.F.Gen,a variant of Android/AdDisplay.Dowgin.U,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,Android.Adware.Adware/Umeng.W,AndroidOS/Dogwin.A,,SUSPICIOUS,,,,,,,Adware.Kuguo.2.origin,,,,,,,TROJ_GEN.F47V0123,,,,Android.Adware.Dowgin.AW (B),Trojan.AndroidOS.Generic.A,Android Dowgin,Android.Adware.Dowgin.AW,Win32/Virus.Adware.ffb,,not-a-virus:HEUR:AdWare.AndroidOS.Dowgin.b,Android.Adware.Dowgin.AW,AdWare.AndroidOS.Dowgin,ApplicUnwnt,Android.Adware.Dowgin.AW,,,Android.Adware.Dowgin.AW,Android.Adware.Dowgin.AW,,Adware/ANDR.Kuguo.K.Gen,a variant of Android/AdDisplay.Kuguo.E,,,,,,Adware/Dowgin,,,,,,,,,,,,,,,
86,,,,,,,,AndroidOS/Gappusin.A,,,,,,,,,Adware.Waps.1.origin,,,,,,,TROJ_GEN.RCBH1C2,AndroidOS/Gappusin.A,,,,Trojan.AndroidOS.Generic.A,,,,,HEUR:AdWare.AndroidOS.Wapx.a,,AndroidOS.AdWare.Wapsx,UnclassifiedMalware,Adware:Android/Gappusin,,,,,,,a variant of Android/Adware.Waps.D,,,Trojan.Waps.bkctqp,,,Adware/Waps.D,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,Trojan/AndroidOS.eij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,Android/Deng.US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.AirPush.a (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,AndroidOS/Agent.K,,,,,,,,Android:Nandrobox-S [Trj],,,,,Android/Generic,,,,AndroidOS/Agent.K,,,,,Andr/JSmsH-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,Android:Agent-AZX [Trj],,,,,Android/Agent,,,,AndroidOS/GenBl.16DDA9B2!Olympus,,,,Trojan.AndroidOS.Generic.A,,,,Artemis!16DDA9B2A635,,,AndroidOS.Agent.AZX,UnclassifiedMalware,,,,,Win32.Trojan.Agent.YIX2V7,Artemis!16DDA9B2A635,Adware/ANDR.Cnzz.A.Gen,a variant of Android/Agent.CV,,Trojan.Android.Agent.CV,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.Youmi.Startapp (v),,,,,,,,,,,,,,,Adware/ANDR.RevMob.A.Gen,a variant of Android/StopSMS.C,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,Android.Adware.AdMobAds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,Android/Generic,,,,,,,Android.Adware.Dowgin.AL (B),,Android Kuguo,Android.Adware.Dowgin.AL,,,,Android.Adware.Dowgin.AL,,,Android.Adware.Dowgin.AL,,,,Android.Adware.Dowgin.AL,,Adware/ANDR.Kuguo.AK,a variant of Android/Adware.Kuguo.C,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware/ANDR.Domob.D.Gen,a variant of Android/Domob.H,,,,,,Adware/Domob.A,,,,,,,,,,,,,,,
96,,,,,,,Android.Adsware.MillennialMediaAds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,AndroidOS/Kuguo.N,Android-Spyware/Dowgin,,,,,,,,,,,WS.Reputation.1,Android/Deng.UW,,,,,,,Android.Adware.Dowgin.I (B),,Android Dowgin,Android.Adware.Dowgin.I,,,,Android.Adware.Dowgin.I,,,Android.Adware.Dowgin.I,,Android.MALWARE.at_Smes.a.(kcloud),Android.Adware.Dowgin.I,Android.Adware.Dowgin.I,,Adware/ANDR.Kuguo.K.Gen,a variant of Android/AdDisplay.Dowgin.U,,,Riskware.Dex.Kuguo.ctinzw,,,Adware/Dowgin.U,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adware.AndroidOS.AirPush.a (v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
